prt1,prt2,momid,partner,infid,samples,nextdad,realdad,momgrp,doc_infant,dob_infant,group,score_preg,DSI,dyad,PHG,dyad_index,prt1_index,prt2_index
jj,uv,uv,jj,cf,37,0,0,ENK,9/16/2013,3/13/2014,ENK,0,0.546866281,uv_jj,0,134,9,32
uv,s1,uv,s1,cf,37,0,0,ENK,9/16/2013,3/13/2014,ENK,0.482457289,0.058162649,uv_s1,0,135,32,21
uv,sn,uv,sn,cf,37,0,0,ENK,9/16/2013,3/13/2014,ENK,1,0.178004861,uv_sn,0,136,32,22
uv,tp,uv,tp,cf,37,0,1,ENK,9/16/2013,3/13/2014,ENK,0.75629867,0.793441188,uv_tp,0,137,32,23
uv,jj,uv,jj,cj,31,0,0,ENK,11/4/2014,5/1/2015,ENK,0.405210269,1.055188789,uv_jj,0,134,32,9
uv,s1,uv,s1,cj,31,0,0,ENK,11/4/2014,5/1/2015,ENK,0.391256182,0.95008764,uv_s1,0,135,32,21
uv,tp,uv,tp,cj,31,0,0,ENK,11/4/2014,5/1/2015,ENK,0.725934413,3.76426791,uv_tp,0,137,32,23
uv,yr,uv,yr,cj,31,0,1,ENK,11/4/2014,5/1/2015,ENK,0.597357239,0.92575682,uv_yr,0,138,32,37
uv,yy,uv,yy,cj,31,0,0,ENK,11/4/2014,5/1/2015,ENK,0,2.011284677,uv_yy,0,139,32,38
bt,ux,ux,bt,ue,68,0,0,PHG,12/11/2013,6/7/2014,PHG,0.785389948,0.150360585,ux_bt,1,140,2,33
ux,ez,ux,ez,ue,68,0,0,PHG,12/11/2013,6/7/2014,PHG,0.126592831,0.092314889,ux_ez,1,141,33,5
ux,jy,ux,jy,ue,68,0,0,PHG,12/11/2013,6/7/2014,PHG,0.520109172,0.107184057,ux_jy,1,143,33,10
ux,oe,ux,oe,ue,68,0,0,PHG,12/11/2013,6/7/2014,PHG,1,0.12509526,ux_oe,1,144,33,13
ux,ph,ux,ph,ue,68,0,0,PHG,12/11/2013,6/7/2014,PHG,0,0.338942797,ux_ph,1,145,33,16
ux,pz,ux,pz,ue,68,0,0,PHG,12/11/2013,6/7/2014,PHG,0.797266304,0,ux_pz,1,146,33,17
ux,jj,ux,jj,yo,48,0,0,ENK,4/3/2015,9/28/2015,ENK,0.560531324,0.366296535,ux_jj,0,142,33,9
ux,s1,ux,s1,yo,48,0,0,ENK,4/3/2015,9/28/2015,ENK,0.221563537,0.43670196,ux_s1,0,147,33,21
ux,tp,ux,tp,yo,48,0,0,ENK,4/3/2015,9/28/2015,ENK,0.520762374,0.5521866,ux_tp,0,148,33,23
ux,yn,ux,yn,yo,48,0,1,ENK,4/3/2015,9/28/2015,ENK,1,0.430951933,ux_yn,0,149,33,35
